dataset,model,seed,status,learning_rate,optimizer_group_count,stop_epoch,IC,ICIR,RankIC,RankICIR,AR_without_cost,IR_without_cost
short_csi300,crfr_rrca_uniform_lr,0,DONE,0.00002,1,16,0.06152885299731666,0.4094578270228631,0.07656183090698576,0.5055119330478138,0.31030150809302437,2.7686005175416555
short_csi300,crfr_rrca_uniform_lr,1,DONE,0.00002,1,17,0.05068537591629333,0.3162141724254763,0.0654016255470244,0.4002835083432393,0.27405551376949433,2.205320163785583
short_csi300,crfr_rrca_uniform_lr,2,DONE,0.00002,1,16,0.06658525581717954,0.44672376731649904,0.06915505646048334,0.44772094278473057,0.398151785577325,3.211329461898429
short_csi300,crfr_rrca_uniform_lr,3,DONE,0.00002,1,17,0.055007756297757664,0.38259509358587007,0.06874898017684332,0.4672588684738848,0.2736682747442717,2.378954341627635
short_csi300,crfr_rrca_uniform_lr,4,DONE,0.00002,1,16,0.05456295297612681,0.3612584864179849,0.06688402117744567,0.4424720401365047,0.2303644357987854,2.0459844336491657
short_csi800_direct,crfr_rrca_uniform_lr,0,DONE,0.00001,1,28,0.044526042617041024,0.3382218037210436,0.062112790412964004,0.4528320558761075,0.2948304261422695,2.2067990849743686
short_csi800_direct,crfr_rrca_uniform_lr,1,DONE,0.00001,1,29,0.05009053050588837,0.4373381682604043,0.06210863312171728,0.5094956953313794,0.25140332823258177,1.840106987422666
short_csi800_direct,crfr_rrca_uniform_lr,2,DONE,0.00001,1,29,0.05085162290788693,0.44373324775624184,0.05689704163408298,0.46234230255513326,0.33225903007845564,2.447531830400652
short_csi800_direct,crfr_rrca_uniform_lr,3,DONE,0.00001,1,29,0.04243683221885039,0.3442323593469098,0.06485801037390661,0.5201987897967613,0.22016149122610176,1.8464715264962859
short_csi800_direct,crfr_rrca_uniform_lr,4,DONE,0.00001,1,28,0.05040092781500007,0.4159372255120157,0.06396234685438981,0.50024703211569,0.3669143224688397,2.9096453577890085
